id,number,name,reading,demo,discourse
1,1,Staranne czytanie,1,1,1
2,2,Wyraźna wymowa,1,1,1
3,3,Poprawna wymowa,1,1,1
4,4,Płynnośc,1,1,1
5,5,Odpowiednie pauzy,1,1,1
6,6,Akcent zdaniowy,1,1,1
7,7,Podkreślanie głównych mysli,1,0,0
8,8,Odpowiednia siła głosu,1,1,1
9,9,Modulacja,1,1,1
10,10,Zapał,1,1,1
11,11,Serdecznośc i inne uczucia,1,1,1
12,12,Gesty i mimika,1,1,1
13,13,Kontakt wzrokowy,1,1,1
14,14,Naturalność,1,1,1
15,15,Stosowny wygląd,1,1,1
16,16,Opanowanie,1,1,1
17,17,Korzystanie z mikrofonu,1,1,1
18,18,Udzielanie odpowiedzi na podstawie Biblii,0,1,0
19,19,Zachęcanie do używania Biblii,0,1,1
20,20,Skuteczne wprowadzanie wersetów biblijnych,0,1,1
21,21,Odczytywanie wersetów z odpowiednim naciskiem i eskpresją,0,1,1
22,22,Poprawne objasnianie wersetów biblijnych,0,1,1
23,23,Uwypuklanie praktycznej wartości materiału,0,1,1
24,24,Dobór słów,0,1,1
25,25,Korzystanie ze szkicu,0,1,1
26,26,Logiczne uporządowanie materiału,0,1,1
27,27,Przemawianie z głowy,0,1,1
28,28,Styl konwersacyjny,0,1,1
29,29,Brzmienie głosu,0,1,1
30,30,Okazywanie drugim zainteresowania,0,1,0
31,31,Okazywanie innym szacunku,0,1,1
32,32,Mówienie z przekonaniem,0,1,1
33,33,Takt połączony ze stanowczością,0,1,1
34,34,Budująco i pozytywnie,0,1,1
35,35,Powtarzanie w celu uwypuklenia myśli,0,1,1
36,36,Uwypuklenie tematu,0,1,1
37,37,Uwypuklenie punktów głównych,0,1,1
38,38,Wstęp wzbudzający zainteresowanie,0,1,1
39,39,Skuteczne zakończenie,0,1,1
40,40,Scisłość informacji,0,1,1
41,41,Wypowiadanie się w sposób zrozumiały,0,1,1
42,42,Materiał pouczający dla słuchaczy,0,1,1
43,43,Korzystanie z wyznczonego materiału,0,1,1
44,44,Skuteczne posługiwanie się pytaniami,0,1,1
45,45,Pouczające figury stylistyczne i przykłady,0,1,1
46,46,Przykłady nawiązujące do znanych sytuacji,0,1,1
47,47,Umiejętne posługiwanie się pomocami wizualnymi,0,1,1
48,48,Rozsądna argumentacja,0,1,1
49,49,Argumenty przkonujące i rzetelne,0,1,1
50,50,Trafianie do serca,0,1,1
51,51,Odpowiednie rozplanowanie czasu,0,1,1
52,52,Skuteczne zachęty,0,0,1
53,53,Pokrzepienie słuchaczy,0,0,1